BinLab	Quality	Kingdom	Phylum	Class	Order	Family	Genus	Species
DonA_bin_25	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Angelakisella	
DonA_bin_26	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonA_bin_27	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_28	MAG	d__Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552		
DonA_bin_29	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
DonA_bin_3	MAG	d__Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	Borkfalkiaceae	UBA11940	
DonA_bin_30	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_31	MAG	d__Bacteria	Desulfobacterota	Desulfovibrionia	Desulfovibrionales	Desulfovibrionaceae	Bilophila	
DonA_bin_32	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_33	MAG	d__Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus taiwanensis
DonA_bin_34	MAG	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonA_bin_35	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Clostridium_Q	
DonA_bin_36	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	
DonA_bin_37	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonA_bin_38	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-873	
DonA_bin_39	MAG	d__Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus murinus
DonA_bin_4	MAG	d__Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	
DonA_bin_40	MAG	d__Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	Emergencia	
DonA_bin_41	MAG	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonA_bin_42	Bin	d__Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia flexneri
DonA_bin_43	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_44	MAG	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Ruminococcaceae	Ruminiclostridium_E	
DonA_bin_45	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_46	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_47	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonA_bin_48	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_49	Bin	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_5	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_50	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp001689485
DonA_bin_51	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonA_bin_52	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	
DonA_bin_53	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	
DonA_bin_54	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	UBA9475	
DonA_bin_55	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Muribaculum	Muribaculum sp002473395
DonA_bin_56	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Paramuribaculum	Paramuribaculum sp001689565
DonA_bin_57	Bin	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA3263	
DonA_bin_58	MAG	d__Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Helicobacteraceae	Helicobacter_D	Helicobacter_D ganmani
DonA_bin_59	Bin	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_6	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_60	MAG	d__Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus reuteri_D
DonA_bin_61	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_62	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella_A	
DonA_bin_63	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-95	
DonA_bin_64	MAG	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	D16-63	
DonA_bin_65	MAG	d__Bacteria	Firmicutes_A	Clostridia	Peptostreptococcales	Anaerovoracaceae	CAG-145	
DonA_bin_66	MAG	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Acutalibacteraceae	Acutalibacter	
DonA_bin_67	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_68	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	CAG-81	
DonA_bin_69	MAG	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	UBA7173	UBA7173 sp002491305
DonA_bin_7	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_70	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	UBA9502	
DonA_bin_71	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae		
DonA_bin_72	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_73	Bin	d__Bacteria	Firmicutes_A	Clostridia_A	Christensenellales	CAG-552		
DonA_bin_74	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_75	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_76	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	Dorea sp000403475
DonA_bin_77	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_78	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_79	Bin	d__Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	CAG-485	CAG-485 sp002362485
DonA_bin_8	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_80	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_81	Bin	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia mucosicola
DonA_bin_82	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_83	Bin	d__Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Adlercreutzia	Adlercreutzia sp004793465
DonA_bin_84	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_85	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	
DonA_bin_86	MAG	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	Oscillibacter sp000403435
DonA_bin_87	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Marseille-P3106	
DonA_bin_88	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_89	Bin	NA	NA	NA	NA	NA	NA	NA
DonA_bin_9	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	
DonA_bin_90	MAG	d__Bacteria	Firmicutes_A	Clostridia	Lachnospirales	Lachnospiraceae	AF33-28	
DonA_bin_91	Bin	d__Bacteria	Firmicutes_A	Clostridia	Oscillospirales	Oscillospiraceae	Lawsonibacter	
