Sample	raw_count	Group	Category	Donor	feature	Cage	order	log_count	feature_size	z_count	prop_count	zprop_count
A1E02M01	16820	AB	Pup	DonorB	Gene	cageP	second	9.73032393352694	87906	-1.08976098057616	0.191340750346962	-1.09432445668566
A1E02M02	16866	AB	Pup	DonorB	Gene	cageP	second	9.73305504013459	87906	-1.08521582524698	0.191864036584533	-1.08894604245657
A1E02M04	14494	AB	Pup	DonorB	Gene	cageE	second	9.58149004966923	87906	-1.31958774787362	0.164880667986258	-1.36628514139997
A1E02M05	18802	AB	Pup	DonorB	Gene	cageE	second	9.8417185261385	87906	-0.89392407052304	0.213887561713649	-0.862584956641055
A1E02M07	16350	AB	Pup	DonorB	Gene	cage312	second	9.7019831763254	87906	-1.13620061111348	0.185994130093509	-1.14927781946112
A1E02M08	17147	AB	Pup	DonorB	Gene	cage312	second	9.74957851017885	87906	-1.05745085464913	0.195060632948832	-1.05609094683975
A1E03M01	27187	BA	Pup	DonorB	Gene	cage364	first	10.2104941968573	87906	-0.0654213001923527	0.309273542192797	0.11780641968287
A1E03M02	28531	BA	Pup	DonorB	Gene	cage364	first	10.258746494417	87906	0.0673762815994712	0.324562600960116	0.274949652810998
A1E03M05	24450	BA	Pup	DonorB	Gene	cage169	first	10.104385494903	87906	-0.335858042278827	0.278138011057266	-0.20220922694785
A1E03M06	26067	BA	Pup	DonorB	Gene	cage169	first	10.1684254255073	87906	-0.176085951685539	0.296532659886697	-0.0131462745905706
A1E04M01	20888	ABAB	Pup	DonorB	Gene	cage33	mixed	9.94693011037896	87906	-0.68781115711698	0.237617455008759	-0.618685563556772
A1E04M02	21739	ABAB	Pup	DonorB	Gene	cage33	mixed	9.98686316145718	87906	-0.603725783527067	0.24729825040384	-0.51918490031865
A1E04M04	16536	ABAB	Pup	DonorB	Gene	cage44	mixed	9.7132951013616	87906	-1.11782237434765	0.188110026619343	-1.12753031844785
A1E04M05	22980	ABAB	Pup	DonorB	Gene	cage44	mixed	10.0423795514027	87906	-0.481105397363635	0.26141560303051	-0.37408463818174
A1E04M07	21307	ABAB	Pup	DonorB	Gene	cage41	mixed	9.96679093620537	87906	-0.646410720531582	0.242383910085773	-0.569695225252691
A1E04M08	18858	ABAB	Pup	DonorB	Gene	cage41	mixed	9.84469250602562	87906	-0.88839083794838	0.214524605828954	-0.856037321927383
A1E09M01	17422	BA	Pup	DonorB	Gene	cage1	first	9.76548905437884	87906	-1.03027873039857	0.19818897458649	-1.02393738351369
A1E09M02	18460	BA	Pup	DonorB	Gene	cage1	first	9.82336150805684	87906	-0.927716312318281	0.209997042295179	-0.902572297213837
A1E09M06	25788	BA	Pup	DonorB	Gene	cage6	first	10.1576645464305	87906	-0.203653306834288	0.293358815097946	-0.045767526110472
A1E09M07	24587	BA	Pup	DonorB	Gene	cage6	first	10.1099731269542	87906	-0.322321384015822	0.279696493982208	-0.186190906309045
A1E10M01	12669	AB	Pup	DonorB	Gene	cageNC	second	9.44691334360205	87906	-1.49991184517278	0.14411985529998	-1.5796678798366
A1E10M02	16897	AB	Pup	DonorB	Gene	cageNC	second	9.73489137036065	87906	-1.082152785786	0.192216686005506	-1.08532145895436
A1E10M04	12398	AB	Pup	DonorB	Gene	cage5	second	9.42529044826187	87906	-1.52668873852515	0.141037016813414	-1.61135375496883
A1E10M05	11143	AB	Pup	DonorB	Gene	cage5	second	9.31856677704705	87906	-1.65069243283225	0.126760403157919	-1.75809092578416
A1E12M01	22628	ABAB	Pup	DonorB	Gene	cage12	mixed	10.026943356463	87906	-0.515885716404351	0.257411325734307	-0.415241199239107
A1E12M02	16710	ABAB	Pup	DonorB	Gene	cage12	mixed	9.72376262158944	87906	-1.10062983027638	0.190089413691898	-1.10718588201609
A1E12M05	19570	ABAB	Pup	DonorB	Gene	cageC	mixed	9.88175306039012	87906	-0.818039738070569	0.222624166723546	-0.772788823424982
A1E12M06	20494	ABAB	Pup	DonorB	Gene	cageC	mixed	9.92788743935966	87906	-0.72674140058869	0.233135394626078	-0.664752850649393
A1E02M01	80	AB	Pup	DonorA	Species	cageP	first	4.38202663467388	92	0.922485055192265	0.869565217391304	0.934804454577493
A1E02M02	83	AB	Pup	DonorA	Species	cageP	first	4.4188406077966	92	1.1807808706461	0.902173913043478	1.18201511749342
A1E02M04	76	AB	Pup	DonorA	Species	cageE	first	4.33073334028633	92	0.578090634587152	0.826086956521739	0.605190237356251
A1E02M05	80	AB	Pup	DonorA	Species	cageE	first	4.38202663467388	92	0.922485055192265	0.869565217391304	0.934804454577493
A1E02M07	68	AB	Pup	DonorA	Species	cage312	first	4.21950770517611	92	-0.110698206623072	0.739130434782609	-0.0540381970862336
A1E02M08	73	AB	Pup	DonorA	Species	cage312	first	4.29045944114839	92	0.319794819133318	0.793478260869565	0.357979574440319
A1E03M01	79	BA	Pup	DonorA	Species	cage364	second	4.36944785246702	92	0.836386450040986	0.858695652173913	0.852400900272183
A1E03M02	77	BA	Pup	DonorA	Species	cage364	second	4.34380542185368	92	0.66418923973843	0.83695652173913	0.687593791661562
A1E03M05	85	BA	Pup	DonorA	Species	cage169	second	4.44265125649032	92	1.35297808094865	0.923913043478261	1.34682222610405
A1E03M06	77	BA	Pup	DonorA	Species	cage169	second	4.34380542185368	92	0.66418923973843	0.83695652173913	0.687593791661562
A1E04M01	86	ABAB	Pup	DonorA	Species	cage33	mixed	4.45434729625351	92	1.43907668609993	0.934782608695652	1.42922578040936
A1E04M02	81	ABAB	Pup	DonorA	Species	cage33	mixed	4.39444915467244	92	1.00858366034354	0.880434782608696	1.0172080088828
A1E04M04	83	ABAB	Pup	DonorA	Species	cage44	mixed	4.4188406077966	92	1.1807808706461	0.902173913043478	1.18201511749342
A1E04M05	84	ABAB	Pup	DonorA	Species	cage44	mixed	4.43081679884331	92	1.26687947579738	0.91304347826087	1.26441867179873
A1E04M07	82	ABAB	Pup	DonorA	Species	cage41	mixed	4.40671924726425	92	1.09468226549482	0.891304347826087	1.09961156318811
A1E04M08	80	ABAB	Pup	DonorA	Species	cage41	mixed	4.38202663467388	92	0.922485055192265	0.869565217391304	0.934804454577493
A1E09M01	82	BA	Pup	DonorA	Species	cage1	second	4.40671924726425	92	1.09468226549482	0.891304347826087	1.09961156318811
A1E09M02	77	BA	Pup	DonorA	Species	cage1	second	4.34380542185368	92	0.66418923973843	0.83695652173913	0.687593791661562
A1E09M06	79	BA	Pup	DonorA	Species	cage6	second	4.36944785246702	92	0.836386450040986	0.858695652173913	0.852400900272183
A1E09M07	76	BA	Pup	DonorA	Species	cage6	second	4.33073334028633	92	0.578090634587152	0.826086956521739	0.605190237356251
A1E10M01	84	AB	Pup	DonorA	Species	cageNC	first	4.43081679884331	92	1.26687947579738	0.91304347826087	1.26441867179873
A1E10M02	84	AB	Pup	DonorA	Species	cageNC	first	4.43081679884331	92	1.26687947579738	0.91304347826087	1.26441867179873
A1E10M04	83	AB	Pup	DonorA	Species	cage5	first	4.4188406077966	92	1.1807808706461	0.902173913043478	1.18201511749342
A1E10M05	74	AB	Pup	DonorA	Species	cage5	first	4.30406509320417	92	0.405893424284596	0.804347826086957	0.44038312874563
A1E12M01	75	ABAB	Pup	DonorA	Species	cage12	mixed	4.31748811353631	92	0.491992029435874	0.815217391304348	0.52278668305094
A1E12M02	74	ABAB	Pup	DonorA	Species	cage12	mixed	4.30406509320417	92	0.405893424284596	0.804347826086957	0.44038312874563
A1E12M05	78	ABAB	Pup	DonorA	Species	cageC	mixed	4.35670882668959	92	0.750287844889708	0.847826086956522	0.769997345966872
A1E12M06	82	ABAB	Pup	DonorA	Species	cageC	mixed	4.40671924726425	92	1.09468226549482	0.891304347826087	1.09961156318811
A1E02M01	58	AB	Pup	DonorB	Species	cageP	second	4.06044301054642	94	-0.971684258135853	0.617021276595745	-0.979763232686317
A1E02M02	59	AB	Pup	DonorB	Species	cageP	second	4.07753744390572	94	-0.885585652984575	0.627659574468085	-0.899112945493886
A1E02M04	53	AB	Pup	DonorB	Species	cageE	second	3.97029191355212	94	-1.40217728389224	0.563829787234043	-1.38301466864847
A1E02M05	59	AB	Pup	DonorB	Species	cageE	second	4.07753744390572	94	-0.885585652984575	0.627659574468085	-0.899112945493886
