Sample	feature	coverage
A1E02M04	DonA_bin_9	41.48
A1E02M04	DonA_bin_90	2.38
A1E02M04	DonA_bin_91	20.18
A1E02M04	DonA_bin_92	80.47
A1E02M04	DonA_bin_93	93.2
A1E02M04	DonA_bin_94	37.13
A1E02M04	DonA_bin_95	29.89
A1E02M04	DonA_bin_96	84.49
A1E02M04	DonA_bin_97	2.21
A1E02M04	DonA_bin_98	1.84
A1E02M04	DonA_bin_99	10.06
A1E02M04	DonB_UnBin	10.26
A1E02M04	DonB_bin_1	27.48
A1E02M04	DonB_bin_10	8.32
A1E02M04	DonB_bin_100	51.62
A1E02M04	DonB_bin_101	18.67
A1E02M04	DonB_bin_102	2.41
A1E02M04	DonB_bin_103	25.74
A1E02M04	DonB_bin_104	11.73
A1E02M04	DonB_bin_105	84.16
